"ID";"Nume_curs";"Cod_curs";"ECTS";"Studenti"
1;"Technical Mechanics";"UPB.06.D.01.O.001";5;""
2;"Mathematics 1";"UPB.06.F.01.O.002";4;""
3;"General Chemistry";"UPB.06.F.01.O.003";5;""
4;"Computer Programming 1";"UPB.06.F.01.O.004";6;""
5;"Communication";"UPB.06.C.01.O.005";4;""
6;"English language";"UPB.06.C.01.O.006";3;""
7;"Foreign Languages 1 - French";"UPB.06.C.01.A.008";3;""
8;"Foreign Languages 1 - Romanian";"UPB.06.C.01.A.009";3;""
9;"Foreign Languages 1 - German";"UPB.06.C.01.A.010";3;""
10;"Sport";"UPB.06.C.01.L.001";2;""
11;"Ethics";"UPB.06.C.01.L.002";5;""
12;"Mechanics of Materials 1";"UPB.06.D.02.O.001";6;""
13;"Mathematics 2";"UPB.06.F.02.O.002";5;""
14;"General Physics";"UPB.06.F.02.O.003";5;""
15;"Materials Science";"UPB.06.D.02.O.004";5;""
16;"Computer Programming 2";"UPB.06.D.02.O.005";6;""
17;"European Culture and Civilization";"UPB.06.D.02.O.006a";3;""
18;"European Integration";"UPB.06.D.02.O.006b";3;""
19;"Sport";"UPB.06.C.02.L.001";2;""
20;"Practical stage (60 hours/2 weeks)";"UPB.06.C.02.L.002";2;""
21;"Foreign Languages 2 - French";"UPB.06.C.02.L.003";5;""
22;"Foreign Languages 2 - Romanian";"UPB.06.C.02.L.004";5;""
23;"Foreign Languages 2 - German";"UPB.06.C.02.L.005";5;""
24;"Technical Drawing";"UPB.06.F.03.O.001";6;""
25;"Mechanics of Materials 2";"UPB.06.D.03.O.002";7;""
26;"Probability and Statistics";"UPB.06.F.03.O.003";5;""
27;"Computer Aided Design 1";"UPB.06.D.03.O.004";6;""
28;"Databases";"UPB.06.F.03.O.005";6;""
29;"Sport";"UPB.06.C.03.L.001";2;""
30;"Foreign Languages 3 - French";"UPB.06.C.03.L.002a";5;""
31;"Foreign Languages 3 - Romanian";"UPB.06.C.03.L.002b";5;""
32;"Foreign Languages 3 - German";"UPB.06.C.03.L.002c";5;""
33;"Tolerances Design";"UPB.06.D.04.O.001";5;""
34;"Materials Technology";"UPB.06.D.04.O.002";5;""
35;"Economics";"UPB.06.S.04.O.003";4;""
36;"Computer Aided Design 2";"UPB.06.D.04.O.004";6;""
37;"Machine elements";"UPB.06.D.04.O.005";6;""
38;"Modelling and simulation";"UPB.06.D.04.A.006a";4;""
39;"Mechanical Vibrations";"UPB.06.D.04.A.006b";4;""
40;"Sport";"UPB.06.C.04.L.001";2;""
41;"Practical Stage (60 hours/2weeks)";"UPB.06.D.04.L.002";2;""
42;"Foreign Languages 4 - French";"UPB.06.C.04.L.003a";5;""
43;"Foreign Languages 4 - Romanian";"UPB.06.C.04.L.003b";5;""
44;"Foreign Languages 4 - German";"UPB.06.C.04.L.003c";5;""
45;"Mechanical Systems Design";"UPB.06.D.05.O.001";4;""
46;"Instrumentation and Measurement";"UPB.06.D.05.O.002";4;""
47;"System and Project Management";"UPB.06.D.05.O.003";5;""
48;"Manufacturing Processes 1";"UPB.06.D.05.O.004";6;""
49;"Production and Operation Management";"UPB.06.D.05.O.005";7;""
50;"Biomechanical Structures";"UPB.06.S.05.A.006a";4;""
51;"Finite Element Analysis of Solids";"UPB.06.S.05.A.006b";4;""
52;"Foreign Languages 5 - French";"UPB.06.C.05.L.001a";5;""
53;"Foreign Languages 5 - Romanian";"UPB.06.C.05.L.001b";5;""
54;"Foreign Languages 5 - German";"UPB.06.C.05.L.001c";5;""
55;"Psychology";"UPB.06.C.05.L.002";5;""
56;"Computer Aided Engineering";"UPB.06.S.06.O.001";6;""
57;"Machine Tools";"UPB.06.D.06.O.002";5;""
58;"Robotics";"UPB.06.S.06.O.003";4;""
59;"Manufacturing Processes 2";"UPB.06.S.06.O.004";4;""
60;"Engineering Economics";"UPB.06.S.06.O.005";4;""
61;"Practical Stage (240 hours/8 weeks)";"UPB.06.D.06.O.006";3;""
62;"Supply Chain Management";"UPB.06.S.06.A.007a";4;""
63;"Industrial Management";"UPB.06.S.06.A.007b";4;""
64;"Foreign Languages 6 - French";"UPB.06.C.06.L.002a";5;""
65;"Foreign Languages 6 - Romanian";"UPB.06.C.06.L.002b";5;""
66;"Foreign Languages 6 - German";"UPB.06.C.06.L.002c";5;""
67;"Sociology";"UPB.06.C.06.L.001";5;""
68;"Computer Aided Manufacturing";"UPB.06.S.07.O.001";6;""
69;"Industrial Logistics";"UPB.06.S.07.O.002";4;""
70;"Product Design and Development";"UPB.06.D.07.O.003";6;""
71;"Integrated Production Systems";"UPB.06.S.07.O.004";6;""
72;"Leadership Lab";"UPB.06.S.07.A.001a";3;""
73;"Internship Lab";"UPB.06.S.07.A.001b";3;""
74;"Foreign Languages 7 - French";"UPB.06.C.07.L.001a";5;""
75;"Foreign Languages 7 - Romanian";"UPB.06.C.07.L.001b";5;""
76;"Foreign Languages 7 - German";"UPB.06.C.07.L.001c";5;""
77;"Intercultural Cooperation";"UPB.06.C.07.L.002";5;""
78;"Entrepreneurship and Innovation";"UPB.06.D.08.O.001";6;""
79;"Technology Strategy";"UPB.06.S.08.O.002";4;""
80;"Quality Assurance";"UPB.06.D.08.O.003";4;""
81;"Foreign Languages 8 - French";"UPB.06.C.08.L.002a";5;""
82;"Foreign Languages 8 - Romanian";"UPB.06.C.08.L.002b";5;""
83;"Foreign Languages 8 - German";"UPB.06.C.08.L.002c";5;""
84;"Organizational Management";"UPB.06.C.08.L.001";5;""
